Index,Contract_Execution_Date,PMT_No.,Item_No,Sales_Contract_No.,Contract/Spot,Sold_to_Customer_Name,Sold_to_Customer_Code,Customer_Type,Customer_Industry,Grade,Material,Payment_Term,Incoterm,Country,Destination_Port,City_State,Shipping_Condition,Export/Domestic,Cross_Boarder,Plant,RETA,BL_Date,EXCHANGE_RATE,QUANTITY,UOM,Currency,FLOOR_PRICE,NORMALISED_INVOICE_PRICE,REFERENCE_MARKET_PRICE,Price_Premium,PRODUCTBASEPRICE,GRADEALPHA,INVOICEPRICE
242,3/6/2018,QTN-0000015894-1,1,30013970,QUOTATION,EURO SME SDN. BHD.,8010000794,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZCBD,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,88,MT,USD,1340,1412.46822,1401.25,11.21822,1360,20,1430
243,9/5/2017,QTN-0000012518-1,1,30011230,QUOTATION,PT. SAI APPAREL INDUSTRIES,8010001234,End Customer,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Indonesia,IDJKT JAKARTA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.29,34,MT,USD,1230,1332.29562,1236.25,96.0456200000001,1270,0,1330
244,3/30/2018,QTN-0000016435-1,2,30014366,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Vietnam,VNSGN HO CHI MINH,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,3.9,102,MT,USD,1230,1280.56813,1285,-4.43186999999989,1270,1.64403921568627,1285.00403921568
245,4/2/2018,QTN-0000016315-1,1,30014398,QUOTATION,PRIMAPLAS PTY LTD,8010001208,Distributor / Trader,Mfg-Petroleum Prod,M022X,72000628,LC30,CFR,Australia,AUSYD SYDNEY,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,3.9,17,MT,USD,1360,1338.75726,1285,53.7572600000001,1270,130,1440
246,2/19/2018,QTN-0000015457-1,1,30013797,QUOTATION,PT. BUKITMEGA MASABADI,8010001217,Distributor / Trader,Mfg-Petroleum Prod,HD5301AA,72000544,TT60SBLC,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M167,00:00.0,00:00.0,3.85,1295,MT,USD,1290,1390.13431,1321.25,68.8843099999999,1330,16.7217119691119,1410.00171196911
247,11/10/2017,QTN-0000013746-1,1,30012313,QUOTATION,CALYPSO PLASTIC CENTER CO.,8010004879,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.22,35,MT,USD,1250,1285,1288.75,-3.75,1290,0,1285
248,1/2/2018,QTN-0000014376-1,1,30013005,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,510,MT,USD,1240,1195.71467,1273.75,-78.0353299999999,1240,41.6052058823529,1239.99520588235
249,1/3/2018,QTN-0000014651-1,1,30013100,QUOTATION,EURO SME SDN. BHD.,8010000794,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZCBD,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,88,MT,USD,1240,1282.24384,1255,27.2438400000001,1260,20,1300
250,3/1/2018,QTN-0000015743-1,3,30013912,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,M022X,72000628,TT60SBLC,CFR,Vietnam,VNSGN HO CHI MINH,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,3.85,17,MT,USD,1260,1310.46342,1255,55.46342,1270,31.6828823529411,1315.00288235294
251,10/4/2018,QTN-0000019755-1,1,30017455,QUOTATION,"PROPLUS SOURCING CO., LTD.",8010001214,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT03,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,32.2765,204,MT,USD,1150,1261.84858,1182.5,79.3485800000001,1190,5,1260
252,4/11/2018,QTN-0000016574-1,1,30014668,QUOTATION,PT. BERLINA TBK,8010001242,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC30,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,3.9,51,MT,USD,1220,1283.87808,1283,0.878079999999954,1260,15,1300
253,1/9/2019,QTN-0000021566-2,1,30019440,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT45SBLC,DDP,Thailand,THAYU AYUTHAYA,THBKK BANGKOK,TRUCK PACK(Drum),EXPORT,CROSSBORDER,M169,00:00.0,00:00.0,32.4805,506,MT,USD,1000,1042.66986,1040,2.66985999999997,1040,40,1080
254,1/10/2018,QTN-0000014797-1,2,30013258,QUOTATION,KLANG HOCK PLASTIC INDUSTRIES,8010000979,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,154,MT,USD,1240,1273.83164,1255,18.8316400000001,1260,23.2621948051948,1300.00219480519
255,10/5/2017,QTN-0000013119-1,2,30011713,QUOTATION,UNIPLAST POLYMERS SDN BHD,8010001505,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZB60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.2,44,MT,USD,1190,1237.62262,1193,44.6226200000001,1210,21.5663636363636,1266.99636363636
256,5/18/2018,QTN-0000017421-1,1,30015236,QUOTATION,NCI INDUSTRIES SDN. BHD.,8010001101,End Customer,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH07 PONTIAN,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.88,22,MT,USD,1420,1475.86413,1372.5,103.36413,1410,53.7282272727272,1502.99822727272
257,11/8/2017,QTN-0000013715-1,1,30012253,QUOTATION,CHONG WAH PLASTICS SDN BHD,8010000709,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.22,270,MT,USD,1230,1337.2792,1206.25,131.0292,1250,21.6181518518518,1366.99815185185
258,11/8/2018,QTN-0000020216-2,1,30018024,QUOTATION,KAMMA KLANG ENTERPRISE SDN BHD,8010000960,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZCBD,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.18,22,MT,USD,1280,1332.31288,1303.75,28.5628799999999,1310,10,1340
259,2/7/2018,QTN-0000015397-1,1,30013630,QUOTATION,"PREMIUM PLAST CO., LTD",8010001205,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT30SBLC,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,31.2206,323,MT,USD,1230,1298.87808,1255,43.87808,1270,5,1300
260,12/28/2017,QTN-0000014361-1,1,30012932,QUOTATION,OLEFIN CHEMICALS MARKETING INC.,8010001125,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,402.5,MT,USD,1200,1257.16616,1273.75,-16.58384,1240,0,1255
261,8/10/2017,QTN-0000012274-1,1,30011036,QUOTATION,NCI INDUSTRIES SDN. BHD.,8010001101,End Customer,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH07 PONTIAN,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.29,22,MT,USD,1100,1172.2896,1086.25,86.0396000000001,1090,52.8997272727272,1202.99972727272
262,1/10/2019,QTN-0000021486-1,5,30019454,QUOTATION,CHIGA LIGHT INDUSTRIES SDN BHD,8010000700,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH13 BATU PAHAT,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.16,44,MT,USD,1080,1094.6818,1098.33333,-3.65152999999987,1100,22.8479545454545,1119.99795454545
263,9/5/2018,QTN-0000019218-1,1,30016962,QUOTATION,"PROPLUS SOURCING CO., LTD.",8010001214,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT07,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,32.4356,119,MT,USD,1150,1251.4024,1197.5,53.9023999999999,1190,5,1250
264,10/4/2018,QTN-0000019687-1,3,30017424,QUOTATION,PT. BUKITMEGA MASABADI,8010001217,Distributor / Trader,Mfg-Petroleum Prod,N109X,72000660,TT60,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.14,204,MT,USD,1200,1215.73193,1182.5,33.2319299999999,1190,66.6052058823529,1234.99520588235
265,9/21/2018,QTN-0000019268-1,1,30017194,QUOTATION,PT. SAI APPAREL INDUSTRIES,8010001234,End Customer,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.1,34,MT,USD,1150,1247.17479,1197.5,49.67479,1190,15,1260
266,2/5/2018,QTN-0000015283-1,4,30013518,QUOTATION,SUMIKENG (M) SDN BHD,8010001403,Distributor / Trader,Mfg-Petroleum Prod,LL3840UA,72000617,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYPG04 PRAI,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.85,132,MT,USD,1250,1370.86475,1216.25,154.61475,1240,53.2880833333333,1397.49808333333
267,10/8/2018,QTN-0000019809-1,1,30017565,QUOTATION,WIN LOONG SDN BHD,8010001544,Distributor / Trader,Mfg-Petroleum Prod,M022X,72000628,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.14,22,MT,USD,1200,1233.29014,1182.5,50.7901400000001,1190,50,1256
268,10/8/2018,QTN-0000019810-1,2,30017566,QUOTATION,WIN LOONG SDN BHD,8010001544,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.14,44,MT,USD,1350,1353.03123,1332.5,20.5312300000001,1360,30,1376
269,6/14/2017,QTN-0000011388-1,1,30010069,QUOTATION,WESCO CHINA LIMITED,8010004900,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,China,CHINA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.3,255,MT,USD,1140,1187.07123,1152.5,34.57123,1260,65,1200
270,6/14/2017,QTN-0000011388-1,5,30010067,QUOTATION,WESCO CHINA LIMITED,8010004900,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Taiwan,KAOHSIUNG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.3,24.75,MT,USD,1140,1214.11438,1271.25,-57.13562,1260,60,1225
271,11/7/2017,QTN-0000013752-1,1,30012218,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Vietnam,VNSGN HO CHI MINH,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.22,102,MT,USD,1250,1260.63308,1288.75,-28.1169199999999,1290,1.66993137254901,1264.99993137254
272,6/15/2017,QTN-0000011416-1,1,30010075,QUOTATION,"V.P. ALLIANCE CO., LTD",8010001513,End Customer,Mfg-Petroleum Prod,LL3840UA,72000617,TT00,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,TRUCK PACK(Drum),EXPORT,CROSSBORDER,M055,00:00.0,00:00.0,34.087,22,MT,USD,1190,1227.18342,1161.25,65.9334200000001,1210,60,1265
273,1/7/2019,QTN-0000021417-1,2,30019307,QUOTATION,LOONGSEN PLASTICS (M) SDN BHD,8010001017,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYMK01 MELAKA,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.16,22,MT,USD,1020,1054.87628,1040,14.87628,1040,22.6925909090909,1080.00259090909
274,7/12/2017,QTN-0000011810-1,1,30010610,QUOTATION,ITOCHU PLASTICS PTE.LTD,8010000938,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT07SBLC,FOB,Philippines,PHILIPPINE,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.25,35,MT,USD,1180,1222.10575,1221,1.10574999999994,1220,0,1220
275,6/21/2018,QTN-0000017844-1,1,30015650,QUOTATION,STA POLYMER SDN BHD,8010001392,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZCBD,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH01 JOHOR BAHRU,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.97,66,MT,USD,1390,1456.54416,1388.75,67.7941599999999,1410,20,1474
276,1/9/2018,QTN-0000014806-1,1,30013227,QUOTATION,KLANG HOCK PLASTIC INDUSTRIES,8010000979,End Customer,Mfg-Petroleum Prod,N109X,72000660,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,4.06,110,MT,MYR,5156.19993,5090.83642,5105.44993,-14.6135100000001,5034.39992727272,297.759836363636,5217.09977272727
277,3/9/2018,QTN-0000015958-1,3,30014099,QUOTATION,"DISCOVERING PETROCHEMICAL CO., LTD.",8010006692,Distributor / Trader,Trading,C150Y,72000448,LC60,CFR,Taiwan,TWTXG TAICHUNG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,3.9,198,MT,USD,1230,1243.59575,1285,-41.4042500000001,1270,36.6440404040404,1277.00404040404
278,9/11/2017,QTN-0000012672-1,1,30011359,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.29,204,MT,USD,1270,1230.60266,1236.25,-5.64733999999999,1270,41.6440392156862,1275.00403921568
279,2/5/2018,QTN-0000015285-1,2,30013555,QUOTATION,SLP POLYMERS SDN. BHD.,8010006647,End Customer,Mfg-Chemical Product,C150Y,72000448,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYKD13 KULIM,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,,3.85,55,MT,MYR,4812.49988,4827.51651,4831.74988,-4.23336999999992,4889.49987272727,89.659109090909,4947.249
280,2/6/2018,QTN-0000015387-1,1,30013589,QUOTATION,VARIOUS RESOURCES (M) SDN BHD,8010001515,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH01 JOHOR BAHRU,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.85,66,MT,USD,1310,1363.40567,1321.25,42.1556700000001,1330,23.4434242424242,1390.00342424242
281,8/9/2017,QTN-0000012070-2,1,30010968,QUOTATION,INTERCHEM PRIVATE LIMITED,8010000924,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC60,CFR,India,INCCU KOLKATA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.29,170,MT,USD,1210,1145.88844,1200,-54.1115600000001,1210,41.5663705882352,1189.99637058823
282,10/5/2017,QTN-0000013142-1,1,30011738,QUOTATION,TCL PLASTIC INDUSTRIES SDN. BHD.,8010001436,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG13 SG BULUH,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,4.2,44,MT,MYR,5333.99976,5625.15413,5375.99976,249.15437,5417.99975,91.0137045454545,5750.00345454545
283,2/7/2018,QTN-0000015257-1,2,30013612,QUOTATION,KLANG HOCK PLASTIC INDUSTRIES,8010000979,End Customer,Mfg-Petroleum Prod,N109X,72000660,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,3.85,308,MT,MYR,5004.99988,4904.14941,4831.74988,72.3995299999997,4889.49987987012,282.6575,5024.24737987012
284,7/5/2018,QTN-0000018140-1,1,30016051,QUOTATION,SAGREX CORPORATION,8010004688,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,Philippines,PHDVO DAVAO,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,3.97,26,MT,USD,1200,1292,1255.625,36.375,1240,15,1300
285,5/17/2018,QTN-0000017392-1,1,30015227,QUOTATION,EURO PLAS-PACK INDUSTRIES,8010000793,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,3.88,16.5,MT,USD,1180,1339.60972,1240,99.6097199999999,1220,3.15860606060606,1345.9986060606
286,1/2/2019,QTN-0000021209-1,1,30019227,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Vietnam,VNHAP HAI PHONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.19,68,MT,USD,990,1046.37868,1102,-55.62132,1030,1.33335294117647,1050.00335294117
287,12/7/2017,QTN-0000014079-1,3,30012675,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,14,MT,USD,1240,1225.61112,1273.75,-48.13888,1240,41.6052142857142,1269.99521428571
288,10/4/2017,QTN-0000013099-1,1,30011672,QUOTATION,HELIPRO ENTERPRISE SDN BHD,8010000878,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG13 SG BULUH,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.2,22,MT,USD,1190,1263.21462,1193,70.21462,1210,20,1291
289,2/5/2018,QTN-0000015256-1,3,30013513,QUOTATION,KLANG HOCK PLASTIC INDUSTRIES,8010000979,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.85,154,MT,USD,1310,1348.47686,1321.25,27.22686,1330,23.443422077922,1375.00342207792
290,1/10/2019,QTN-0000021661-1,1,30019473,QUOTATION,BETAFOAM CORPORATION,8010000645,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,4.16,24.75,MT,USD,1000,1096,1040,56,1040,15,1100
291,3/7/2018,QTN-0000015928-1,1,30014021,QUOTATION,DURA-MINE SDN BHD.,8010000770,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZB30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,22,MT,USD,1340,1504.68304,1401.25,103.43304,1360,20,1526
292,2/6/2018,QTN-0000015383-1,2,30013610,QUOTATION,BP PLASTICS SDN BHD,8010000663,End Customer,Mfg-Petroleum Prod,N109X,72000660,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH13 BATU PAHAT,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,3.85,22,MT,MYR,5004.99988,4904.1494,4831.74988,72.3995199999999,4889.49986363636,282.6575,5024.24736363636
293,10/8/2018,QTN-0000019765-1,1,30017521,QUOTATION,"PREMIUM PLAST CO., LTD",8010001205,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT30SBLC,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,32.305,85,MT,USD,1150,1208.95575,1182.5,26.4557500000001,1190,5,1210
294,7/12/2017,QTN-0000011805-1,2,30010606,QUOTATION,"DISCOVERING PETROCHEMICAL CO., LTD.",8010006692,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,China,CNSHA SHANGHAI,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.25,148.5,MT,USD,1100,1137.9763,1118,19.9763,1220,60,1145
295,2/11/2019,QTN-0000022254-1,1,30020031,QUOTATION,MEGASTRIKE INTERNATIONAL,8010001056,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,ZCBD,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.16,510,MT,USD,1040,1041.86411,1040,1.86410999999998,1040,40,1080
296,2/11/2019,QTN-0000022109-1,1,30020032,QUOTATION,PT. BUKITMEGA MASABADI,8010001217,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.16,945,MT,USD,1000,1041.33714,1040,1.33714000000009,1040,16.3463015873015,1059.9963015873
297,1/10/2018,QTN-0000014809-1,1,30013241,QUOTATION,PT. BUKITMEGA MASABADI,8010001217,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT60SBLC,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.06,910,MT,USD,1200,1245.62837,1257.5,-11.8716300000001,1240,16.6052054945054,1264.9952054945
298,1/15/2019,QTN-0000021784-1,1,30019581,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,ZM45,CFR,Bangladesh,BDCGP CHITTAGONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,0,510,MT,USD,1040,1036.2681,1040,-3.7319,1040,41.3463019607843,1079.99630196078
299,5/10/2018,QTN-0000017314-1,1,30015104,QUOTATION,MC INDUSTRIAL CHEMICAL COMPANY,8010004933,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT30,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,31.2272,272,MT,USD,1180,1273.89966,1240,33.89966,1220,5,1275
300,5/11/2017,QTN-0000010680-1,11,30009695,QUOTATION,WESCO CHINA LIMITED,8010004900,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Taiwan,TWKEL KEELUNG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,0,17,MT,USD,1190,1262.17479,1302.5,-40.32521,1310,80,1260
301,8/8/2018,QTN-0000018785-1,1,30016571,QUOTATION,"PREMIUM PLAST CO., LTD",8010001205,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC30,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,33.1333,119,MT,USD,1150,1253.91692,1217.5,36.4169199999999,1190,5,1255
302,9/12/2018,QTN-0000019310-1,1,30017077,QUOTATION,CHONG WAH PLASTICS SDN BHD,8010000709,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZB60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.1,225,MT,USD,1180,1280.49848,1165,115.49848,1200,21.5534266666666,1305.00342666666
303,12/26/2017,QTN-0000014385-1,1,30012878,QUOTATION,MEGASTRIKE INTERNATIONAL,8010001056,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Vietnam,VNHAP HAI PHONG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.15,119,MT,USD,1200,1247.1489,1273.75,-26.6011000000001,1240,0,1245
304,1/11/2018,QTN-0000014832-1,1,30013266,QUOTATION,SUN EOSS SDN BHD,8010004982,End Customer,EPLS,HD5201AA,72000539,ZB30,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH06 PASIRG GUDANG,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,,4.06,770,MT,USD,1270,1288.86945,1255,33.8694499999999,1260,50,1310
305,12/21/2018,QTN-0000021056-1,2,30019101,QUOTATION,"DISCOVERING PETROCHEMICAL CO., LTD.",8010006692,Distributor / Trader,Trading,C150Y,72000448,LC60,CFR,Hong Kong,HKHKG HONG KONG PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,4.19,102,MT,USD,900,998.5379,1102,-103.4621,1030,-88.7831470588235,1001.99685294117
306,3/7/2018,QTN-0000015907-1,1,30014011,QUOTATION,PT. PANCA BUDI PRATAMA,8010001230,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC60,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,3.9,493,MT,USD,1230,1300.44731,1285,15.44731,1270,16.6440405679513,1320.00404056795
